date,killed,diagnosed,source
2020-03-05,0,3,"https://www.montgomerycountymd.gov/HHS/RightNav/Coronavirus.html"
2020-03-08,0,4,"https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=23951"
2020-03-10,0,5,"https://www.delmarvanow.com/story/news/local/maryland/2020/03/10/marylands-coronavirus-diagnoses-up-eight/5011347002/"
2020-03-11,0,6,"https://github.com/nytimes/covid-19-data"
2020-03-14,0,12,"https://twitter.com/MontgomeryCoMD/status/1239360744573014016"
2020-03-16,0,15,"https://twitter.com/riccimike/status/1239553105856884736"
2020-03-17,0,24,"https://twitter.com/MDHealthDept/status/1239918755792089088"
2020-03-18,0,31,"https://twitter.com/MDHealthDept/status/1240276876255350786"
2020-03-19,0,33,"https://twitter.com/MontgomeryCoMD/status/1240767629582893058"
2020-03-20,0,51,"https://twitter.com/MDHealthDept/status/1241006919034126339"
2020-03-21,1,68,"https://coronavirus.maryland.gov/"
2020-03-22,1,83,"https://twitter.com/MontgomeryCoMD/status/1241733934955757574"
2020-03-23,1,93,"https://twitter.com/riccimike/status/1242094172640645121"
2020-03-24,1,107,"https://twitter.com/MontgomeryCoMD/status/1242454885452390405"
2020-03-25,1,127,"https://twitter.com/MontgomeryCoMD/status/1242817299519766528"
2020-03-26,1,164,"https://twitter.com/MDHealthDept/status/1242816151073304579"
2020-03-27,1,208,"https://twitter.com/MontgomeryCoMD/status/1243545869015748610"
2020-03-28,1,255,"https://twitter.com/MontgomeryCoMD/status/1243904432867348482"
2020-03-29,1,301,"https://twitter.com/MontgomeryCoMD/status/1244266821756338176"
2020-03-30,1,341,"https://twitter.com/MontgomeryCoMD/status/1244628037083074560"
2020-03-31,1,388,"https://twitter.com/MontgomeryCoMD/status/1244991593951703041"
2020-04-01,1,447,"https://twitter.com/MontgomeryCoMD/status/1245355749611581443"
2020-04-02,6,498,"https://twitter.com/MontgomeryCoMD/status/1245715112771620866"
2020-04-03,9,566,"https://coronavirus.maryland.gov/"
2020-04-04,9,640,"https://coronavirus.maryland.gov/"
2020-04-05,13,693,"https://twitter.com/MontgomeryCoMD/status/1246814859242680321"
2020-04-06,19,793,"https://twitter.com/MDHealthDept/status/1247163371893469184"
2020-04-07,21,871,"https://twitter.com/MontgomeryCoMD/status/1247527059154321410"
2020-04-08,26,1088,"https://twitter.com/MontgomeryCoMD/status/1247892406424354825"
2020-04-09,29,1214,"https://twitter.com/MontgomeryCoMD/status/1248260655070789634"
2020-04-10,34,1388,"https://twitter.com/MontgomeryCoMD/status/1248615507965538309"
